symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,leverage,pnl,pnl_pct,exit_reason,composite_score,ml_confidence
BTC-USDT,LONG,2025-06-23 07:15:00+00:00,2025-06-23 22:15:00+00:00,101810.9,105939.4,541.481469635982,2.0,43.91487055692763,8.110133590804129,TAKE_PROFIT,67.675,high
BTC-USDT,LONG,2025-06-23 23:00:00+00:00,2025-07-02 16:30:00+00:00,105216.2,109462.4,539.8479833584621,2.0,43.57318562990682,8.071380642904796,TAKE_PROFIT,67.1,high
BTC-USDT,LONG,2025-07-02 17:30:00+00:00,2025-07-10 17:30:00+00:00,109092.5,113576.5,543.3613959209346,2.0,44.66727775620635,8.220546783692738,TAKE_PROFIT,67.275,high
BTC-USDT,LONG,2025-07-10 19:30:00+00:00,2025-07-11 05:30:00+00:00,113204.2,117925.3,537.3703593397862,2.0,44.82129114430502,8.340856611327151,TAKE_PROFIT,66.075,high
BTC-USDT,LONG,2025-07-11 07:00:00+00:00,2025-07-14 05:15:00+00:00,117464.3,122326.8,519.2532078095812,2.0,42.98955040764026,8.279111185270759,TAKE_PROFIT,63.15,high
BTC-USDT,LONG,2025-07-14 06:00:00+00:00,2025-07-14 16:00:00+00:00,122150.0,119448.0,551.2485561108882,2.0,-24.387615204447318,-4.4240687679083095,STOP_LOSS,67.4,high
BTC-USDT,SHORT,2025-07-14 17:15:00+00:00,2025-07-25 04:00:00+00:00,120179.9,115234.4,276.7681876705017,1.5,17.083851860308577,6.17262121203296,TAKE_PROFIT,28.4,high
BTC-USDT,SHORT,2025-07-25 05:00:00+00:00,2025-07-26 10:15:00+00:00,115347.3,117784.2,304.9383994543022,1.5,-9.663482183330522,-3.1689948529354313,STOP_LOSS,32.35,high
BTC-USDT,LONG,2025-07-26 11:15:00+00:00,2025-08-01 00:00:00+00:00,117964.7,115256.0,549.4731484469665,2.0,-25.23395417778872,-4.592390774528307,STOP_LOSS,67.275,high
BTC-USDT,SHORT,2025-08-01 01:45:00+00:00,2025-08-09 10:00:00+00:00,115278.0,117707.1,317.5505897448855,1.5,-10.036981959471493,-3.160750533492955,STOP_LOSS,34.3,high
BTC-USDT,LONG,2025-08-09 10:45:00+00:00,2025-08-11 05:00:00+00:00,117400.0,122308.9,555.9901651903955,2.0,46.495743132932354,8.362691652470177,TAKE_PROFIT,68.475,high
BTC-USDT,LONG,2025-08-11 06:45:00+00:00,2025-08-11 12:30:00+00:00,122309.9,119581.1,501.64696796894816,2.0,-22.384030175703852,-4.462108136790217,STOP_LOSS,60.375,high
BTC-USDT,SHORT,2025-08-11 13:45:00+00:00,2025-08-13 08:15:00+00:00,120005.0,119810.0,306.42822799065675,1.5,0.7468876854070006,0.24373984417315947,END_OF_DATA,32.65,high
