symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_hours,exit_reason,signal_score,commission_total
BTC-USDT,SHORT,2025-09-25 22:00:00,2025-09-26 18:15:00,109361.9286,110233.92379999999,0.006367178350210043,-5.973276390773853,-0.8578264541322201,20.25,stop_loss,70.0,0.8389235743183199
BTC-USDT,LONG,2025-09-26 19:15:00,2025-09-28 16:45:00,109335.12589999998,110049.24059999999,0.006371756781377238,4.129440985359128,0.5927510946781703,45.5,take_profit,70.0,0.8387182949847145
BTC-USDT,LONG,2025-09-29 02:30:00,2025-09-29 13:30:00,111732.2206,113154.63209999999,0.006237382801807292,8.448651773469612,1.2122901643467268,11.0,take_profit,70.0,0.8416232324301298
BTC-USDT,LONG,2025-09-29 22:15:00,2025-09-30 01:00:00,114143.12909999999,114591.0942,0.006110562867895059,2.317189255047002,0.3322236270111293,2.75,take_profit,70.0,0.838616910908278
BTC-USDT,LONG,2025-09-30 03:15:00,2025-09-30 07:30:00,114395.48119999998,113486.49990000001,0.006098245036653427,-5.958431791981006,-0.8541187026712473,4.25,stop_loss,70.0,0.8338080961114949
BTC-USDT,SHORT,2025-09-30 12:30:00,2025-09-30 18:45:00,113063.6232,113779.56589999999,0.006166132534904232,-4.8355455054590495,-0.6936010162638985,6.25,stop_loss,70.0,0.8392471011785657
BTC-USDT,SHORT,2025-09-30 18:45:00,2025-09-30 19:45:00,113552.23409999999,114417.1028,0.006141803951181637,-5.733490447349243,-0.8221053236679616,1.0,stop_loss,70.0,0.8400857844724066
BTC-USDT,LONG,2025-09-30 22:30:00,2025-10-01 08:15:00,113980.66679999999,114927.2577,0.006121464309909557,5.372408546687431,0.7699854457949269,9.75,take_profit,70.0,0.8407510140493328
BTC-USDT,LONG,2025-10-01 17:30:00,2025-10-01 23:15:00,117237.22009999999,118186.0956,0.005954383319889381,5.227733260081656,0.7488780797524295,5.75,take_profit,70.0,0.841080398470279
BTC-USDT,LONG,2025-10-02 04:15:00,2025-10-02 12:45:00,118662.54399999998,119242.93770000001,0.005885698607618228,2.9949255965270476,0.42881933947078504,8.5,take_profit,70.0,0.8401439774318602
BTC-USDT,LONG,2025-10-02 14:30:00,2025-10-02 16:00:00,119076.15719999999,119975.30459999999,0.005866768779856576,4.852769471980584,0.694649740712326,1.5,take_profit,70.0,0.8414757917203899
BTC-USDT,LONG,2025-10-02 17:15:00,2025-10-02 19:00:00,119517.29789999998,120851.5275,0.005847711141011916,7.378166402325958,1.0556787223851896,1.75,take_profit,70.0,0.8433644749461167
