2025-10-20 02:40:40 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:40 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=LDO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:40 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4629 digest cache entries
2025-10-20 02:40:40 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for LDO (digest: d42095e3...)
2025-10-20 02:40:40 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=LDO conf=0.50 title="Ethereum Supply Squeeze Looms as Reserves Drop to ..."
2025-10-20 02:40:40 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:40 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=TAO digest=CHANGED run=YES items=32
2025-10-20 02:40:40 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=TAO digest=CHANGED run=YES items=30
2025-10-20 02:40:40 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:40 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=LDO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:40 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4629 digest cache entries
2025-10-20 02:40:40 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for LDO (digest: 218b4c68...)
2025-10-20 02:40:40 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=LDO conf=0.50 title="Ethereum Supply Squeeze Looms as Reserves Drop to ..."
2025-10-20 02:40:41 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:41 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=TAO digest=CHANGED run=YES items=32
2025-10-20 02:40:41 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=TAO digest=CHANGED run=YES items=30
2025-10-20 02:40:42 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:42 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=TAO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:42 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4630 digest cache entries
2025-10-20 02:40:42 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for TAO (digest: 9106009a...)
2025-10-20 02:40:42 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=TAO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:42 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:42 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=TAO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:42 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4630 digest cache entries
2025-10-20 02:40:42 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for TAO (digest: dab8c6cc...)
2025-10-20 02:40:42 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=TAO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:42 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:42 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=ARB digest=CHANGED run=YES items=11
2025-10-20 02:40:42 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=ARB digest=CHANGED run=YES items=11
2025-10-20 02:40:43 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:43 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=ARB digest=CHANGED run=YES items=11
2025-10-20 02:40:43 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=ARB digest=CHANGED run=YES items=11
2025-10-20 02:40:44 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:44 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=ARB analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:44 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4631 digest cache entries
2025-10-20 02:40:44 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for ARB (digest: 44a6d8ed...)
2025-10-20 02:40:44 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=ARB conf=0.50 title="Ethereum Supply Squeeze Looms as Reserves Drop to ..."
2025-10-20 02:40:45 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:45 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=ARB analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:45 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4631 digest cache entries
2025-10-20 02:40:45 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for ARB (digest: 84c61b8d...)
2025-10-20 02:40:45 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=ARB conf=0.50 title="Ethereum Supply Squeeze Looms as Reserves Drop to ..."
2025-10-20 02:40:45 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:45 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=SUI digest=CHANGED run=YES items=9
