2025-12-09 07:30:15.581 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:30:15 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=53.2 News=60.0 Risk=43.5 | Final=50.1 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:30:18.252 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:30:18 | SOL-USDT-SWAP | tf=15m | TA=44.7 ML=51.1 News=40.0 Risk=45.5 | Final=46.4 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:45:11.087 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:45:11 | BTC-USDT-SWAP | tf=15m | TA=35.8 ML=53.2 News=45.0 Risk=40.5 | Final=44.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:45:13.941 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:45:13 | ETH-USDT-SWAP | tf=15m | TA=42.2 ML=51.6 News=40.0 Risk=43.5 | Final=45.4 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:45:17.438 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:45:17 | SOL-USDT-SWAP | tf=15m | TA=39.6 ML=52.9 News=40.0 Risk=42.5 | Final=44.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:00:10.970 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:00:10 | BTC-USDT-SWAP | tf=15m | TA=35.8 ML=51.9 News=42.0 Risk=40.5 | Final=43.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:00:14.146 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:00:14 | ETH-USDT-SWAP | tf=15m | TA=41.5 ML=50.1 News=40.0 Risk=43.5 | Final=44.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:00:17.183 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:00:17 | SOL-USDT-SWAP | tf=15m | TA=39.3 ML=48.5 News=40.0 Risk=42.5 | Final=43.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:15:10.063 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:15:10 | BTC-USDT-SWAP | tf=15m | TA=35.8 ML=54.2 News=40.0 Risk=40.5 | Final=43.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:15:13.513 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:15:13 | ETH-USDT-SWAP | tf=15m | TA=34.2 ML=42.2 News=40.0 Risk=40.5 | Final=39.1 (D) | Dir=short age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:15:16.359 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:15:16 | SOL-USDT-SWAP | tf=15m | TA=37.1 ML=51.1 News=60.0 Risk=42.5 | Final=46.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:30:11.725 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:30:11 | BTC-USDT-SWAP | tf=15m | TA=35.8 ML=56.1 News=45.0 Risk=40.5 | Final=45.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:30:14.944 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:30:14 | ETH-USDT-SWAP | tf=15m | TA=34.2 ML=43.7 News=40.0 Risk=40.5 | Final=39.7 (D) | Dir=short age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:30:18.363 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:30:18 | SOL-USDT-SWAP | tf=15m | TA=37.1 ML=50.7 News=45.0 Risk=42.5 | Final=44.1 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 08:45:12.059 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 05:45:12 | BTC-USDT-SWAP | tf=15m | TA=34.2 ML=49.2 News=45.0 Risk=40.5 | Final=42.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
