ℹ️ 13:45:14 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=95.9 News=50.0 Risk=45.8 | Final=58.6 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:16 | SOL-USDT-SWAP | tf=15m | TA=41.8 ML=97.5 News=50.0 Risk=47.2 | Final=58.2 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:16 | SOL-USDT-SWAP | tf=15m | TA=41.8 ML=97.5 News=50.0 Risk=47.2 | Final=58.2 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:18 | SOL-USDT-SWAP | tf=15m | TA=41.8 ML=97.5 News=50.0 Risk=47.2 | Final=58.2 (D) | Dir=flat | Gate=PASS (persist 7/5, conf 7/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 14:00:15 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=73.1 News=50.0 Risk=45.8 | Final=52.9 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:00:17 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=73.1 News=50.0 Risk=45.8 | Final=52.9 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:00:19 | SOL-USDT-SWAP | tf=15m | TA=42.7 ML=95.9 News=50.0 Risk=47.2 | Final=58.1 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:15:06 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:15:08 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=100.0 News=50.0 Risk=45.8 | Final=59.7 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:15:10 | SOL-USDT-SWAP | tf=15m | TA=54.4 ML=89.6 News=50.0 Risk=47.2 | Final=61.3 (C) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 14:30:10 | SOL-USDT-SWAP | tf=15m | TA=49.6 ML=100.0 News=50.0 Risk=47.2 | Final=61.9 (C) | Dir=long | Gate=PENDING (persist 1/5, conf 1/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:05 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=4.1 News=50.0 Risk=45.8 | Final=30.0 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:05 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=4.1 News=50.0 Risk=45.8 | Final=30.0 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:07 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=51.6 News=50.0 Risk=45.8 | Final=41.6 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:07 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=51.6 News=50.0 Risk=45.8 | Final=41.6 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:09 | SOL-USDT-SWAP | tf=15m | TA=32.3 ML=73.1 News=50.0 Risk=47.2 | Final=48.3 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:06:09 | SOL-USDT-SWAP | tf=15m | TA=32.3 ML=77.0 News=50.0 Risk=47.2 | Final=49.3 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
