UID:548615070318948634,Account Type:Main
id,Order id,Time,Trade Type,Symbol,Action,Amount,Trading Unit,Filled Price,PnL,Fee,Fee Unit,Position Change,Position Balance,Balance Change,Balance,Balance Unit
3139393670893002752,3139393670691676160,2025-12-18 16:13:42,Swap,SOL-USDT-SWAP,Buy,1,cont,124.82000000,-0.93000000,-0.06241000,USDT,0.00000000,0.00000000,-0.99241000,455.52487427,USDT
3139370006025854976,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.23,cont,1.88890000,-0.33810000,-0.02172235,USDT,0.00000000,0.00000000,-0.35982235,457.48724017,USDT
3139370006025854979,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.04,cont,1.88890000,-0.05880000,-0.00377780,USDT,0.00000000,0.00000000,-0.06257780,457.34644012,USDT
3139370006025854981,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.5,cont,1.88890000,-0.73500000,-0.04722250,USDT,0.00000000,0.00000000,-0.78222250,456.51728427,USDT
3139370006025854980,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.03,cont,1.88890000,-0.04410000,-0.00283335,USDT,0.00000000,0.00000000,-0.04693335,457.29950677,USDT
3139370006025854977,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.02,cont,1.88890000,-0.02940000,-0.00188890,USDT,0.00000000,0.00000000,-0.03128890,457.45595127,USDT
3139370006025854978,3139370005958746114,2025-12-18 16:01:57,Swap,XRP-USDT-SWAP,Buy,0.03,cont,1.88890000,-0.04410000,-0.00283335,USDT,0.00000000,0.00000000,-0.04693335,457.40901792,USDT
3139369960995807243,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,5,cont,1.42210000,-0.06944506,-0.00355525,USDT,0.00000000,0.00000000,-0.07300030,458.62086575,USDT
3139369960995807240,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.75206620,USDT
3139369960995807248,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,42,cont,1.42210000,-0.58333847,-0.02986410,USDT,0.00000000,0.00000000,-0.61320256,457.84706252,USDT
3139369960995807235,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.91156632,USDT
3139369960995807246,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42210000,-0.01388902,-0.00071105,USDT,0.00000000,0.00000000,-0.01460006,458.48946520,USDT
3139369960995807245,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42210000,-0.01388902,-0.00071105,USDT,0.00000000,0.00000000,-0.01460006,458.50406526,USDT
3139369960995807236,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.89706631,USDT
3139369960995807233,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.94056634,USDT
3139369960995807232,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,3,cont,1.42200000,-0.04136704,-0.00213300,USDT,0.00000000,0.00000000,-0.04350003,458.95506635,USDT
3139369960995807238,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.86806629,USDT
3139369960995807244,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,7,cont,1.42210000,-0.09722308,-0.00497735,USDT,0.00000000,0.00000000,-0.10220043,458.51866532,USDT
3139369960995807247,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,2,cont,1.42210000,-0.02777803,-0.00142210,USDT,0.00000000,0.00000000,-0.02920012,458.46026508,USDT
3139369960995807242,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,2,cont,1.42210000,-0.02777803,-0.00142210,USDT,0.00000000,0.00000000,-0.02920012,458.69386605,USDT
3139369960995807237,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.88256630,USDT
3139369960995807239,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,7,cont,1.42200000,-0.09652308,-0.00497700,USDT,0.00000000,0.00000000,-0.10150008,458.76656621,USDT
3139369960995807241,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,2,cont,1.42200000,-0.02757803,-0.00142200,USDT,0.00000000,0.00000000,-0.02900002,458.72306618,USDT
3139369960995807234,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.92606633,USDT
3139369960962252800,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,8,cont,1.42200000,-0.11031209,-0.00568800,USDT,0.00000000,0.00000000,-0.11600009,459.05656643,USDT
3139369960962252802,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,459.01306640,USDT
3139369960962252801,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,2,cont,1.42200000,-0.02757803,-0.00142200,USDT,0.00000000,0.00000000,-0.02900002,459.02756641,USDT
3139369960962252803,3139369960928698368,2025-12-18 16:01:55,Swap,SUI-USDT-SWAP,Buy,1,cont,1.42200000,-0.01378902,-0.00071100,USDT,0.00000000,0.00000000,-0.01450001,458.99856639,USDT
3139369444727316487,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,4.5,cont,1.48500000,-0.67500000,-0.03341250,USDT,0.00000000,0.00000000,-0.70841250,459.17256652,USDT
3139369444727316483,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.2,cont,1.48500000,-0.03000000,-0.00148500,USDT,0.00000000,0.00000000,-0.03148500,460.06988902,USDT
3139369444727316482,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.1,cont,1.48500000,-0.01500000,-0.00074250,USDT,0.00000000,0.00000000,-0.01574250,460.10137402,USDT
3139369444727316486,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,1,cont,1.48500000,-0.15000000,-0.00742500,USDT,0.00000000,0.00000000,-0.15742500,459.88097902,USDT
3139369444727316481,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.5,cont,1.48500000,-0.07500000,-0.00371250,USDT,0.00000000,0.00000000,-0.07871250,460.11711652,USDT
3139369444727316485,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.1,cont,1.48500000,-0.01500000,-0.00074250,USDT,0.00000000,0.00000000,-0.01574250,460.03840402,USDT
3139369444727316484,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.1,cont,1.48500000,-0.01500000,-0.00074250,USDT,0.00000000,0.00000000,-0.01574250,460.05414652,USDT
3139369444727316480,3139369444660207616,2025-12-18 16:01:40,Swap,NEAR-USDT-SWAP,Buy,0.5,cont,1.48500000,-0.07500000,-0.00371250,USDT,0.00000000,0.00000000,-0.07871250,460.19582902,USDT
3139245288799068180,0,2025-12-18 15:00:00,Swap,MINA-USDT-SWAP,Funding fee expense,10617,cont,0.07755000,-0.04116742,0.00000000,USDT,-0.04116742,132.30814914,0.00000000,460.27454152,USDT
3139095770451402753,3139095770384293888,2025-12-18 13:45:44,Swap,NEAR-USDT-SWAP,Sell,7.5,cont,1.47000000,0.00000000,-0.05512500,USDT,0.00000000,0.00000000,-0.05512500,460.27454152,USDT
3139095560601985025,3139095560534876160,2025-12-18 13:45:37,Swap,XRP-USDT-SWAP,Sell,0.85,cont,1.87420000,0.00000000,-0.07965350,USDT,0.00000000,0.00000000,-0.07965350,460.32966652,USDT
3139095327667118085,3139095327633563648,2025-12-18 13:45:30,Swap,SUI-USDT-SWAP,Sell,80,cont,1.40820000,0.00000000,-0.05632800,USDT,0.00000000,0.00000000,-0.05632800,460.40932002,USDT
3139095327667118084,3139095327633563648,2025-12-18 13:45:30,Swap,SUI-USDT-SWAP,Sell,1,cont,1.40820000,0.00000000,-0.00070410,USDT,0.00000000,0.00000000,-0.00070410,460.46564802,USDT
3139095327667118081,3139095327633563648,2025-12-18 13:45:30,Swap,SUI-USDT-SWAP,Sell,2,cont,1.40830000,0.00000000,-0.00140830,USDT,0.00000000,0.00000000,-0.00140830,460.47198532,USDT
3139095327667118083,3139095327633563648,2025-12-18 13:45:30,Swap,SUI-USDT-SWAP,Sell,1,cont,1.40830000,0.00000000,-0.00070415,USDT,0.00000000,0.00000000,-0.00070415,460.46635212,USDT
3139095327667118082,3139095327633563648,2025-12-18 13:45:30,Swap,SUI-USDT-SWAP,Sell,7,cont,1.40830000,0.00000000,-0.00492905,USDT,0.00000000,0.00000000,-0.00492905,460.46705627,USDT
3139095104161046529,3139095104127492096,2025-12-18 13:45:24,Swap,SOL-USDT-SWAP,Sell,1.49,cont,123.89000000,0.00000000,-0.09229805,USDT,0.00000000,0.00000000,-0.09229805,460.47339362,USDT
3139053536360259584,3139053536326705152,2025-12-18 13:24:45,Swap,NEAR-USDT-SWAP,Buy,7.5,cont,1.47200000,0.00000000,-0.05520000,USDT,0.00000000,0.00000000,-0.05520000,460.56569167,USDT
3139053457540898816,3139053457473789952,2025-12-18 13:24:43,Swap,XRP-USDT-SWAP,Buy,0.86,cont,1.87770000,-0.25800000,-0.08074110,USDT,0.00000000,0.00000000,-0.33874110,460.62089167,USDT
3139053378218221568,3139053378184667136,2025-12-18 13:24:40,Swap,SUI-USDT-SWAP,Buy,7,cont,1.40700000,-0.01517693,-0.00492450,USDT,0.00000000,0.00000000,-0.02010142,461.20084984,USDT
3139053378218221569,3139053378184667136,2025-12-18 13:24:40,Swap,SUI-USDT-SWAP,Buy,84,cont,1.40700000,-0.18212308,-0.05909400,USDT,0.00000000,0.00000000,-0.24121708,460.95963277,USDT
3139053315941195776,3139053315907641344,2025-12-18 13:24:38,Swap,SOL-USDT-SWAP,Buy,1.5,cont,123.65000000,-0.10500000,-0.09273750,USDT,0.00000000,0.00000000,-0.19773750,461.22095127,USDT
3139035203359465473,3139035203325911040,2025-12-18 13:15:39,Swap,NEAR-USDT-SWAP,Sell,7.5,cont,1.47200000,0.00000000,-0.05520000,USDT,0.00000000,0.00000000,-0.05520000,461.41868877,USDT
3139034996026630145,3139034995993075712,2025-12-18 13:15:32,Swap,XRP-USDT-SWAP,Sell,0.86,cont,1.87470000,0.00000000,-0.08061210,USDT,0.00000000,0.00000000,-0.08061210,461.47388877,USDT
3139034777922822146,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,2,cont,1.40500000,0.00000000,-0.00140500,USDT,0.00000000,0.00000000,-0.00140500,461.61209822,USDT
3139034777922822147,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,1,cont,1.40490000,0.00000000,-0.00070245,USDT,0.00000000,0.00000000,-0.00070245,461.61139577,USDT
3139034777922822148,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,7,cont,1.40490000,0.00000000,-0.00491715,USDT,0.00000000,0.00000000,-0.00491715,461.60647862,USDT
3139034777922822145,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,7,cont,1.40500000,0.00000000,-0.00491750,USDT,0.00000000,0.00000000,-0.00491750,461.61350322,USDT
3139034777922822150,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,1,cont,1.40490000,0.00000000,-0.00070245,USDT,0.00000000,0.00000000,-0.00070245,461.60437127,USDT
3139034777922822151,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,71,cont,1.40480000,0.00000000,-0.04987040,USDT,0.00000000,0.00000000,-0.04987040,461.55450087,USDT
3139034777922822149,3139034777855713280,2025-12-18 13:15:26,Swap,SUI-USDT-SWAP,Sell,2,cont,1.40490000,0.00000000,-0.00140490,USDT,0.00000000,0.00000000,-0.00140490,461.60507372,USDT
3139034561899388929,3139034561865834496,2025-12-18 13:15:19,Swap,SOL-USDT-SWAP,Sell,1.5,cont,123.58000000,0.00000000,-0.09268500,USDT,0.00000000,0.00000000,-0.09268500,461.61842072,USDT
3139013858982617088,3139013858949062656,2025-12-18 13:05:03,Swap,ETH-USDT-SWAP,Buy,0.47,cont,2853.26000000,-1.94392000,-0.06705161,USDT,0.00000000,0.00000000,-2.01097161,461.71110572,USDT
3139013782277185536,3139013782210076672,2025-12-18 13:05:00,Swap,SOL-USDT-SWAP,Buy,1.02,cont,123.62000000,-1.60140000,-0.06304620,USDT,0.00000000,0.00000000,-1.66444620,463.72207733,USDT
3139013709262741504,3139013709229187072,2025-12-18 13:04:58,Swap,NEAR-USDT-SWAP,Buy,6,cont,1.47600000,-0.18000000,-0.04428000,USDT,0.00000000,0.00000000,-0.22428000,465.38652353,USDT
3139013617592033280,3139013617524924416,2025-12-18 13:04:55,Swap,SUI-USDT-SWAP,Buy,80,cont,1.40580000,-0.60000000,-0.05623200,USDT,0.00000000,0.00000000,-0.65623200,465.61080353,USDT
3139013537094950912,3139013537061396480,2025-12-18 13:04:53,Swap,XRP-USDT-SWAP,Buy,0.8,cont,1.87280000,-0.40800000,-0.07491200,USDT,0.00000000,0.00000000,-0.48291200,466.26703553,USDT
3138974497486397442,3138974497452843008,2025-12-18 12:45:29,Swap,XRP-USDT-SWAP,Sell,0.57,cont,1.86770000,0.00000000,-0.05322945,USDT,0.00000000,0.00000000,-0.05322945,466.74994753,USDT
3138974497486397441,3138974497452843008,2025-12-18 12:45:29,Swap,XRP-USDT-SWAP,Sell,0.23,cont,1.86770000,0.00000000,-0.02147855,USDT,0.00000000,0.00000000,-0.02147855,466.80317698,USDT
3138968865509203968,3138968865442095104,2025-12-18 12:42:42,Swap,XRP-USDT-SWAP,Buy,0.81,cont,1.86510000,-1.07730000,-0.07553655,USDT,0.00000000,0.00000000,-1.15283655,466.82465553,USDT
3138884025241821185,3138884025174712320,2025-12-18 12:00:33,Swap,XRP-USDT-SWAP,Sell,0.81,cont,1.85180000,0.00000000,-0.07499790,USDT,0.00000000,0.00000000,-0.07499790,467.97749208,USDT
3138875900774309888,3138875900740755456,2025-12-18 11:56:31,Swap,XRP-USDT-SWAP,Buy,0.76,cont,1.84990000,-0.88920000,-0.07029620,USDT,0.00000000,0.00000000,-0.95949620,468.05248998,USDT
3138793164269150210,3138793164235595776,2025-12-18 11:15:25,Swap,SUI-USDT-SWAP,Sell,73,cont,1.39830000,0.00000000,-0.05103795,USDT,0.00000000,0.00000000,-0.05103795,469.01198618,USDT
3138793164269150209,3138793164235595776,2025-12-18 11:15:25,Swap,SUI-USDT-SWAP,Sell,7,cont,1.39830000,0.00000000,-0.00489405,USDT,0.00000000,0.00000000,-0.00489405,469.06302413,USDT
3138764318497038336,3138764318463483904,2025-12-18 11:01:06,Swap,BTC-USDT-SWAP,Buy,0.17,cont,86920.00000000,-2.00311000,-0.07388200,USDT,0.00000000,0.00000000,-2.07699200,469.06791818,USDT
3138764265615253505,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,1,cont,1.39860000,0.01210000,-0.00069930,USDT,0.00000000,0.00000000,0.01140070,470.43806678,USDT
